"","EXER_AMT","AGE_TYPE","RENT_HR","RENT_TYPE","park","holiday","RENT_SPOT","GENDER_CD","USE_CNT","CARBON_AMT","MOVE_TIME"
"1",118.7,"2","5","0","0","1","2","0","1",1.07,33
"2",31.82,"3","4","0","0","1","3","1","1",0.23,7
"3",208.05,"2","4","1","1","0","3","0","0",2.32,131
"4",166.67,"4","4","0","1","1","2","1","1",1.25,30
"5",0,"3","1","1","1","0","1","1","1",0,2
"6",26.14,"2","4","0","0","1","3","0","1",0.35,16
"7",92.32,"3","5","1","1","0","2","1","1",0.7,25
"8",26.02,"3","4","0","1","0","3","1","1",0.16,6
"9",21.88,"5","3","1","0","0","2","1","1",0.2,50
"10",37.38,"1","4","1","0","0","2","1","1",0.34,8
"11",18.79,"3","3","1","0","0","3","0","1",0.17,8
"12",29.01,"4","1","1","1","0","2","1","1",0.24,5
"13",9.5,"3","5","1","0","1","3","0","1",0.11,3
"14",24.58,"5","5","1","0","1","3","0","1",0.25,17
"15",100.81,"2","4","1","0","1","3","1","0",0.79,30
"16",282.27,"5","2","1","1","0","1","0","0",2.54,88
"17",81.15,"5","5","1","1","0","2","1","1",0.79,21
"18",36.36,"5","4","1","0","0","1","0","1",0.36,10
"19",209.4,"4","4","0","1","1","1","1","1",1.64,127
"20",20.89,"3","6","1","1","0","3","1","1",0.15,5
"21",80.46,"3","3","1","1","1","1","1","1",0.74,26
"22",30.5,"4","3","1","1","1","2","0","1",0.35,14
"23",67.47,"3","4","1","0","1","3","0","1",0.9,23
"24",32.67,"5","5","1","1","0","1","0","1",0.26,8
"25",365.77,"4","3","1","0","1","3","0","0",3.3,170
"26",15.28,"2","6","1","0","0","3","0","1",0.18,8
"27",231.83,"3","4","1","1","1","2","0","1",2.34,70
"28",35.26,"3","3","1","0","1","3","1","1",0.25,7
"29",144.8,"5","6","0","1","0","2","1","1",0.94,50
"30",352.84,"2","5","0","1","1","1","0","0",3.03,129
"31",66.22,"4","5","1","1","1","1","1","1",0.41,16
"32",60.23,"2","3","1","0","1","3","1","1",0.54,13
"33",38.57,"4","6","1","0","0","3","1","1",0.28,9
"34",19.92,"2","6","1","1","0","2","1","1",0.17,3
"35",383.63,"3","4","0","1","0","1","1","0",3.52,63
"36",14.5,"3","1","1","1","0","3","0","1",0.2,11
"37",25.19,"2","6","1","0","1","2","1","1",0.23,79
"38",238.51,"2","5","1","1","0","2","1","1",1.86,81
"39",121.61,"3","5","0","0","0","2","0","1",1.1,58
"40",31.56,"2","5","1","0","0","3","1","1",0.25,7
"41",48.82,"2","5","1","1","1","1","0","1",0.52,15
"42",17.09,"3","4","1","1","0","2","0","1",0.21,8
"43",23.95,"2","1","1","0","0","3","0","1",0.22,7
"44",267.19,"5","5","1","1","0","1","0","1",2.85,63
"45",56.23,"3","3","0","0","0","1","1","1",0.56,148
"46",17.15,"1","5","1","1","1","2","1","1",0.18,4
"47",97.81,"5","6","1","1","0","2","0","1",0.88,48
"48",130.23,"3","3","0","1","1","2","1","1",0.88,35
"49",150.86,"5","5","1","1","1","2","0","0",1.49,128
"50",34.11,"2","4","1","0","1","2","1","1",0.25,9
"51",34.75,"2","4","0","1","1","2","0","1",0.31,121
"52",54.56,"4","4","1","0","0","3","1","1",0.34,10
"53",36.61,"3","5","0","1","1","2","1","1",0.32,17
"54",20.79,"3","5","1","1","1","2","0","1",0.24,6
"55",44.21,"4","5","0","1","1","1","1","1",0.34,53
"56",1.34,"4","1","1","0","1","3","1","1",0.01,8
"57",107.59,"3","4","1","0","0","1","0","1",0.97,30
"58",42.93,"3","5","1","1","1","3","1","1",0.32,10
"59",25.68,"4","2","1","0","0","2","1","1",0.19,7
"60",85.66,"2","4","1","1","0","1","1","0",0.72,87
"61",33.45,"2","6","1","0","0","2","0","1",0.3,12
"62",117.63,"4","6","1","0","1","3","1","1",1.06,40
"63",15.86,"2","1","1","0","0","2","0","1",0.14,5
"64",33.98,"2","3","0","1","1","1","0","1",0.36,38
"65",45.27,"5","1","1","1","0","3","1","1",0.36,19
"66",128.02,"5","6","1","0","0","3","1","0",1.04,44
"67",16.27,"5","4","1","1","1","1","1","0",0.12,70
"68",36.55,"2","5","1","1","0","2","0","1",0.33,37
"69",81.76,"2","4","0","0","0","3","1","1",0.77,21
